id,number,name,team,section,type,sort_order,owned,duplicates
1,PL000,Panini Logo,We Are Panini,We Are Panini,Foil,1,FALSE,0
2,FWC001,Official Emblem,FIFA World Cup 2026,FIFA World Cup 2026,Foil,2,FALSE,0
3,FWC002,Official Emblem,FIFA World Cup 2026,FIFA World Cup 2026,Foil,3,FALSE,0
4,FWC003,Official Mascots,FIFA World Cup 2026,FIFA World Cup 2026,Foil,4,FALSE,0
5,FWC004,Official Slogan,FIFA World Cup 2026,FIFA World Cup 2026,Foil,5,FALSE,0
6,FWC005,Official Ball,FIFA World Cup 2026,FIFA World Cup 2026,Foil,6,FALSE,0
7,FWC006,Canada,Host Countries and Cities,Host Countries and Cities,Foil,7,FALSE,0
8,FWC007,Mexico,Host Countries and Cities,Host Countries and Cities,Foil,8,FALSE,0
9,FWC008,USA,Host Countries and Cities,Host Countries and Cities,Foil,9,FALSE,0
10,MEX001,Emblem,Mexico,Mexico,Foil,10,FALSE,0
11,MEX002,Luis Malagón,Mexico,Mexico,Base,11,FALSE,0
12,MEX003,Johan Vasquez,Mexico,Mexico,Base,12,FALSE,0
13,MEX004,Jorge Sánchez,Mexico,Mexico,Base,13,FALSE,0
14,MEX005,Cesar Montes,Mexico,Mexico,Base,14,FALSE,0
15,MEX006,Jesus Gallardo,Mexico,Mexico,Base,15,FALSE,0
16,MEX007,Israel Reyes,Mexico,Mexico,Base,16,FALSE,0
17,MEX008,Diego Lainez,Mexico,Mexico,Base,17,FALSE,0
18,MEX009,Carlos Rodriguez,Mexico,Mexico,Base,18,FALSE,0
19,MEX010,Edson Alvarez,Mexico,Mexico,Base,19,FALSE,0
20,MEX011,Orbelin Pineda,Mexico,Mexico,Base,20,FALSE,0
21,MEX012,Marcel Ruiz,Mexico,Mexico,Base,21,FALSE,0
22,MEX013,Team Photo,Mexico,Mexico,Base,22,FALSE,0
23,MEX014,Érick Sánchez,Mexico,Mexico,Base,23,FALSE,0
24,MEX015,Hirving Lozano,Mexico,Mexico,Base,24,FALSE,0
25,MEX016,Santiago Giménez,Mexico,Mexico,Base,25,FALSE,0
26,MEX017,Raúl Jiménez,Mexico,Mexico,Base,26,FALSE,0
27,MEX018,Alexis Vega,Mexico,Mexico,Base,27,FALSE,0
28,MEX019,Roberto Alvarado,Mexico,Mexico,Base,28,FALSE,0
29,MEX020,Cesar Huerta,Mexico,Mexico,Base,29,FALSE,0
30,RSA001,Emblem,South Africa,South Africa,Foil,30,FALSE,0
31,RSA002,Ronwen Williams,South Africa,South Africa,Base,31,FALSE,0
32,RSA003,Sipho Chaine,South Africa,South Africa,Base,32,FALSE,0
33,RSA004,Aubrey Modiba,South Africa,South Africa,Base,33,FALSE,0
34,RSA005,Samukele Kabini,South Africa,South Africa,Base,34,FALSE,0
35,RSA006,Mbekezeli Mbokazi,South Africa,South Africa,Base,35,FALSE,0
36,RSA007,Khulumani Ndamane,South Africa,South Africa,Base,36,FALSE,0
37,RSA008,Siyabonga Ngezana,South Africa,South Africa,Base,37,FALSE,0
38,RSA009,Khuliso Mudau,South Africa,South Africa,Base,38,FALSE,0
